sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"TMDD1","Approved symbol","TMDD1","transmembrane and death domain 1","HGNC:53646","12q13.13"
"DDX20","Approved symbol","DDX20","DEAD-box helicase 20","HGNC:2743","1p13.2"
"TREX2","Approved symbol","TREX2","three prime repair exonuclease 2","HGNC:12270","Xq28"
"CHML","Approved symbol","CHML","CHM like Rab escort protein","HGNC:1941","1q43"
"DUSP10","Approved symbol","DUSP10","dual specificity phosphatase 10","HGNC:3065","1q41"
"MRPL3","Approved symbol","MRPL3","mitochondrial ribosomal protein L3","HGNC:10379","3q22.1"
"RPL35","Approved symbol","RPL35","ribosomal protein L35","HGNC:10344","9q33.3"
"GALNT6","Approved symbol","GALNT6","polypeptide N-acetylgalactosaminyltransferase 6","HGNC:4128","12q13.13"
"LOC112267855","Unmatched","","","",""
"LOC112267897","Unmatched","","","",""
"LOC112267908","Unmatched","","","",""
"LOC112267968","Unmatched","","","",""
"LOC112267992","Unmatched","","","",""
"LOC112268016","Unmatched","","","",""
"LOC112268044","Unmatched","","","",""
"LOC112268076","Unmatched","","","",""
"LOC112268080","Unmatched","","","",""
"LOC112268119","Unmatched","","","",""
"LOC112268145","Unmatched","","","",""
"CPHXL2","Approved symbol","CPHXL2","cytoplasmic polyadenylated homeobox like 2","HGNC:55919","16q23.1"
"ZNF470-DT","Approved symbol","ZNF470-DT","ZNF470 divergent transcript","HGNC:55272","19q13.43"
"LOC112268260","Unmatched","","","",""
"TMA7B","Approved symbol","TMA7B","translation machinery associated 7 homolog B","HGNC:53893","22q13.1"
"LOC112268307","Unmatched","","","",""
"LOC112268317","Unmatched","","","",""
"HIGD2AP2","Approved symbol","HIGD2AP2","HIGD2A pseudogene 2","HGNC:54794","3p21.31"
"LOC112268458","Unmatched","","","",""
"LOC112268470","Unmatched","","","",""
"GALNT5","Approved symbol","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5","HGNC:4127","2q24.1"
"RASSF8","Approved symbol","RASSF8","Ras association domain family member 8","HGNC:13232","12p12.1"
"CHN1","Approved symbol","CHN1","chimerin 1","HGNC:1943","2q31.1"
"PRAF2","Approved symbol","PRAF2","PRA1 domain family member 2","HGNC:28911","Xp11.23"
"SEC63","Approved symbol","SEC63","SEC63 homolog, protein translocation regulator","HGNC:21082","6q21"
"POLG2","Approved symbol","POLG2","DNA polymerase gamma 2, accessory subunit","HGNC:9180","17q23.3"
"HPS5","Approved symbol","HPS5","HPS5 biogenesis of lysosomal organelles complex 2 subunit 2","HGNC:17022","11p15.1"
"PDCD10","Approved symbol","PDCD10","programmed cell death 10","HGNC:8761","3q26.1"
"RNF139","Approved symbol","RNF139","ring finger protein 139","HGNC:17023","8q24.13"
"RNF24","Approved symbol","RNF24","ring finger protein 24","HGNC:13779","20p13"
"CA5B","Approved symbol","CA5B","carbonic anhydrase 5B","HGNC:1378","Xp22.2"
"EGLN2","Approved symbol","EGLN2","egl-9 family hypoxia inducible factor 2","HGNC:14660","19q13.2"
"EGLN3","Approved symbol","EGLN3","egl-9 family hypoxia inducible factor 3","HGNC:14661","14q13.1"
"CHN2","Approved symbol","CHN2","chimerin 2","HGNC:1944","7p14.3"
"PADI2","Approved symbol","PADI2","peptidyl arginine deiminase 2","HGNC:18341","1p36.13"
"PMF1","Approved symbol","PMF1","polyamine modulated factor 1","HGNC:9112","1q22"
"ZHX1","Approved symbol","ZHX1","zinc fingers and homeoboxes 1","HGNC:12871","8q24.13"
"TMEM271","Approved symbol","TMEM271","transmembrane protein 271","HGNC:53639","4p16.3"
"SCYGR1","Approved symbol","SCYGR1","small cysteine and glycine repeat containing 1","HGNC:34218","2q36.3"
"SCYGR3","Approved symbol","SCYGR3","small cysteine and glycine repeat containing 3","HGNC:34222","2q36.3"
"SCYGR4","Approved symbol","SCYGR4","small cysteine and glycine repeat containing 4","HGNC:34223","2q36.3"
"SCYGR6","Approved symbol","SCYGR6","small cysteine and glycine repeat containing 6","HGNC:34225","2q36.3"
"SCYGR8","Approved symbol","SCYGR8","small cysteine and glycine repeat containing 8","HGNC:34227","2q36.3"
"SHLD3","Approved symbol","SHLD3","shieldin complex subunit 3","HGNC:53826","5q12.3"
"SCYGR2","Approved symbol","SCYGR2","small cysteine and glycine repeat containing 2","HGNC:34220","2q36.3"
"SCYGR5","Approved symbol","SCYGR5","small cysteine and glycine repeat containing 5","HGNC:34224","2q36.3"
"SCYGR7","Approved symbol","SCYGR7","small cysteine and glycine repeat containing 7","HGNC:34226","2q36.3"
"GPR176","Approved symbol","GPR176","G protein-coupled receptor 176","HGNC:32370","15q14-q15.1"
"CAVIN3","Approved symbol","CAVIN3","caveolae associated protein 3","HGNC:9400","11p15.4"
"NXPH4","Approved symbol","NXPH4","neurexophilin 4","HGNC:8078","12q13.3"
"PRRT2","Approved symbol","PRRT2","proline rich transmembrane protein 2","HGNC:30500","16p11.2"
"ERI2","Approved symbol","ERI2","ERI1 exoribonuclease family member 2","HGNC:30541","16p12.3"
"NXPH3","Approved symbol","NXPH3","neurexophilin 3","HGNC:8077","17q21.33"
"SAT2","Approved symbol","SAT2","spermidine/spermine N1-acetyltransferase family member 2","HGNC:23160","17p13.1"
"SAT2","Alias symbol","SLC38A2","solute carrier family 38 member 2","HGNC:13448","12q13.11"
"DTD2","Approved symbol","DTD2","D-aminoacyl-tRNA deacylase 2","HGNC:20277","14q12"
"TAF11L7","Approved symbol","TAF11L7","TATA-box binding protein associated factor 11 like 7","HGNC:53850","5p15.1"
"TAF11L8","Approved symbol","TAF11L8","TATA-box binding protein associated factor 11 like 8","HGNC:53851","5p15.1"
"TAF11L10","Approved symbol","TAF11L10","TATA-box binding protein associated factor 11 like 10","HGNC:53853","5p15.1"
"TAF11L12","Approved symbol","TAF11L12","TATA-box binding protein associated factor 11 like 12","HGNC:53855","5p15.1"
"TAF11L14","Approved symbol","TAF11L14","TATA-box binding protein associated factor 11 like 14","HGNC:53857","5p15.1"
"TAF11L9","Approved symbol","TAF11L9","TATA-box binding protein associated factor 11 like 9","HGNC:53852","5p15.1"
"TAF11L11","Approved symbol","TAF11L11","TATA-box binding protein associated factor 11 like 11","HGNC:53854","5p15.1"
"TAF11L13","Approved symbol","TAF11L13","TATA-box binding protein associated factor 11 like 13","HGNC:53856","5p15.1"
"NXPH2","Approved symbol","NXPH2","neurexophilin 2","HGNC:8076","2q22.1"
"GTF3C6","Approved symbol","GTF3C6","general transcription factor IIIC subunit 6","HGNC:20872","6q21"
"GPR45","Approved symbol","GPR45","G protein-coupled receptor 45","HGNC:4503","2q12.1"
"PTGDR2","Approved symbol","PTGDR2","prostaglandin D2 receptor 2","HGNC:4502","11q12.2"
"PACSIN2","Approved symbol","PACSIN2","protein kinase C and casein kinase substrate in neurons 2","HGNC:8571","22q13.2"
"MAN1B1","Approved symbol","MAN1B1","mannosidase alpha class 1B member 1","HGNC:6823","9q34.3"
"SLC6A14","Approved symbol","SLC6A14","solute carrier family 6 member 14","HGNC:11047","Xq23"
"HRH3","Approved symbol","HRH3","histamine receptor H3","HGNC:5184","20q13.33"
"SNX18","Approved symbol","SNX18","sorting nexin 18","HGNC:19245","5q11.2"
"OOSP3","Approved symbol","OOSP3","oocyte secreted protein family member 3","HGNC:53903","11q12.1"
"OOSP4A","Approved symbol","OOSP4A","oocyte secreted protein family member 4A","HGNC:53904","11q12.1"
"SPADH","Approved symbol","SPADH","spermadhesin family member","HGNC:55808","10q26.13"
"DCTN3","Approved symbol","DCTN3","dynactin subunit 3","HGNC:2713","9p13.3"
"FILIP1L","Approved symbol","FILIP1L","filamin A interacting protein 1 like","HGNC:24589","3q12.1"
"XPOT","Approved symbol","XPOT","exportin for tRNA","HGNC:12826","12q14.2"
"MRAP2","Approved symbol","MRAP2","melanocortin 2 receptor accessory protein 2","HGNC:21232","6q14.2"
"CHP1","Approved symbol","CHP1","calcineurin like EF-hand protein 1","HGNC:17433","15q15.1"
"CHP1","Alias symbol","CHORDC1","cysteine and histidine rich domain containing 1","HGNC:14525","11q14.3"
"RWDD2A","Approved symbol","RWDD2A","RWD domain containing 2A","HGNC:21385","6q14.1"
"CMTM7","Approved symbol","CMTM7","CKLF like MARVEL transmembrane domain containing 7","HGNC:19178","3p22.3"
"SP140","Approved symbol","SP140","SP140 nuclear body protein","HGNC:17133","2q37.1"
"PXMP4","Approved symbol","PXMP4","peroxisomal membrane protein 4","HGNC:15920","20q11.22"
"DUSP12","Approved symbol","DUSP12","dual specificity phosphatase 12","HGNC:3067","1q23.3"
"SNF8","Approved symbol","SNF8","SNF8 subunit of ESCRT-II","HGNC:17028","17q21.32"
"DDX19B","Approved symbol","DDX19B","DEAD-box helicase 19B","HGNC:2742","16q22.1"
"LOC112694756","Unmatched","","","",""
"NRM","Approved symbol","NRM","nurim","HGNC:8003","6p21.33"
"GARIN5A","Approved symbol","GARIN5A","golgi associated RAB2 interactor 5A","HGNC:25107","19q13.33"
"TUBA3E","Approved symbol","TUBA3E","tubulin alpha 3e","HGNC:20765","2q21.1"
"PRR4","Approved symbol","PRR4","proline rich 4","HGNC:18020","12p13.2"
"PRR4","Alias symbol","NECTIN4","nectin cell adhesion molecule 4","HGNC:19688","1q23.3"
"RDH13","Approved symbol","RDH13","retinol dehydrogenase 13","HGNC:19978","19q13.42"
"ATXN2L","Approved symbol","ATXN2L","ataxin 2 like","HGNC:31326","16p11.2"
"USP18","Approved symbol","USP18","ubiquitin specific peptidase 18","HGNC:12616","22q11.21"
"IL17F","Approved symbol","IL17F","interleukin 17F","HGNC:16404","6p12.2"
"KLHL2","Approved symbol","KLHL2","kelch like family member 2","HGNC:6353","4q32.3"
"IFT43","Approved symbol","IFT43","intraflagellar transport 43","HGNC:29669","14q24.3"
"STX1B","Approved symbol","STX1B","syntaxin 1B","HGNC:18539","16p11.2"
"SYNRG","Approved symbol","SYNRG","synergin gamma","HGNC:557","17q12"
"TREX1","Approved symbol","TREX1","three prime repair exonuclease 1","HGNC:12269","3p21.31"
"GLMP","Approved symbol","GLMP","glycosylated lysosomal membrane protein","HGNC:29436","1q22"
"KLF12","Approved symbol","KLF12","KLF transcription factor 12","HGNC:6346","13q22.1"
"KLF8","Approved symbol","KLF8","KLF transcription factor 8","HGNC:6351","Xp11.21"
"CHRM1","Approved symbol","CHRM1","cholinergic receptor muscarinic 1","HGNC:1950","11q12.3"
"SCN11A","Approved symbol","SCN11A","sodium voltage-gated channel alpha subunit 11","HGNC:10583","3p22.2"
"KRT71","Approved symbol","KRT71","keratin 71","HGNC:28927","12q13.13"
"POU6F2","Approved symbol","POU6F2","POU class 6 homeobox 2","HGNC:21694","7p14.1"
"FDX2","Approved symbol","FDX2","ferredoxin 2","HGNC:30546","19p13.2"
"HOGA1","Approved symbol","HOGA1","4-hydroxy-2-oxoglutarate aldolase 1","HGNC:25155","10q24.2"
"MGAT4B","Approved symbol","MGAT4B","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B","HGNC:7048","5q35.3"
"CYP4F8","Approved symbol","CYP4F8","cytochrome P450 family 4 subfamily F member 8","HGNC:2648","19p13.12"
"PNKP","Approved symbol","PNKP","polynucleotide kinase 3'-phosphatase","HGNC:9154","19q13.33"
"WDR89","Approved symbol","WDR89","WD repeat domain 89","HGNC:20489","14q23.2"
"L3HYPDH","Approved symbol","L3HYPDH","trans-L-3-hydroxyproline dehydratase","HGNC:20488","14q23.1"
"B4GALT7","Approved symbol","B4GALT7","beta-1,4-galactosyltransferase 7","HGNC:930","5q35.3"
"TP53RK","Approved symbol","TP53RK","TP53 regulating kinase","HGNC:16197","20q13.12"
"SGF29","Approved symbol","SGF29","SAGA complex associated factor 29","HGNC:25156","16p11.2"
"PHF21B","Approved symbol","PHF21B","PHD finger protein 21B","HGNC:25161","22q13.31"
"CHRM2","Approved symbol","CHRM2","cholinergic receptor muscarinic 2","HGNC:1951","7q33"
"VPS26B","Approved symbol","VPS26B","VPS26 retromer complex component B","HGNC:28119","11q25"
"GLB1L3","Approved symbol","GLB1L3","galactosidase beta 1 like 3","HGNC:25147","11q25"
"NACC1","Approved symbol","NACC1","nucleus accumbens associated 1","HGNC:20967","19p13.13"
"CFAP36","Approved symbol","CFAP36","cilia and flagella associated protein 36","HGNC:30540","2p16.1"
"MED8","Approved symbol","MED8","mediator complex subunit 8","HGNC:19971","1p34.2"
"KTI12","Approved symbol","KTI12","KTI12 chromatin associated homolog","HGNC:25160","1p32.3"
"ADCY7","Approved symbol","ADCY7","adenylate cyclase 7","HGNC:238","16q12.1"
"LYST","Approved symbol","LYST","lysosomal trafficking regulator","HGNC:1968","1q42.3"
"RPUSD1","Approved symbol","RPUSD1","RNA pseudouridine synthase domain containing 1","HGNC:14173","16p13.3"
"PLCD3","Approved symbol","PLCD3","phospholipase C delta 3","HGNC:9061","17q21.31"
"SLCO2B1","Approved symbol","SLCO2B1","solute carrier organic anion transporter family member 2B1","HGNC:10962","11q13.4"
"PTH2","Approved symbol","PTH2","parathyroid hormone 2","HGNC:30828","19q13.33"
"PTH2","Alias symbol","PTENP1","phosphatase and tensin homolog pseudogene 1","HGNC:9589","9p13.3"
"PTH2","Alias symbol","PTRH2","peptidyl-tRNA hydrolase 2","HGNC:24265","17q23.1"
"CHRM3","Approved symbol","CHRM3","cholinergic receptor muscarinic 3","HGNC:1952","1q43"
"VPS45","Approved symbol","VPS45","vacuolar protein sorting 45 homolog","HGNC:14579","1q21.2"
"MTFR2","Approved symbol","MTFR2","mitochondrial fission regulator 2","HGNC:21115","6q23.3"
"LYPLA2","Approved symbol","LYPLA2","lysophospholipase 2","HGNC:6738","1p36.11"
"CDCA5","Approved symbol","CDCA5","cell division cycle associated 5","HGNC:14626","11q13.1"
"CD300A","Approved symbol","CD300A","CD300a molecule","HGNC:19319","17q25.1"
"AHNAK2","Approved symbol","AHNAK2","AHNAK nucleoprotein 2","HGNC:20125","14q32.33"
"PARK7","Approved symbol","PARK7","Parkinsonism associated deglycase","HGNC:16369","1p36.23"
"COPE","Approved symbol","COPE","COPI coat complex subunit epsilon","HGNC:2234","19p13.11"
"RBPJL","Approved symbol","RBPJL","recombination signal binding protein for immunoglobulin kappa J region like","HGNC:13761","20q13.12"
"SAAL1","Approved symbol","SAAL1","serum amyloid A like 1","HGNC:25158","11p15.1"
"IZUMO4","Approved symbol","IZUMO4","IZUMO family member 4","HGNC:26950","19p13.3"
"SCAMP4","Approved symbol","SCAMP4","secretory carrier membrane protein 4","HGNC:30385","19p13.3"
"ADAT3","Approved symbol","ADAT3","adenosine deaminase tRNA specific 3","HGNC:25151","19p13.3"
"GPR182","Previous symbol","ACKR5","atypical chemokine receptor 5","HGNC:13708","12q13.3"
"CHST14","Approved symbol","CHST14","carbohydrate sulfotransferase 14","HGNC:24464","15q15.1"
"ECD","Approved symbol","ECD","ecdysoneless cell cycle regulator","HGNC:17029","10q22.2"
"ECD","Alias symbol","SEM1","SEM1 26S proteasome subunit","HGNC:10845","7q21.3"
"CHRM4","Approved symbol","CHRM4","cholinergic receptor muscarinic 4","HGNC:1953","11p11.2"
"MGAT4A","Approved symbol","MGAT4A","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","HGNC:7047","2q11.2"
"GOLM2","Approved symbol","GOLM2","golgi membrane protein 2","HGNC:24892","15q15.3"
"GPN1","Approved symbol","GPN1","GPN-loop GTPase 1","HGNC:17030","2p23.3"
"TMC6","Approved symbol","TMC6","transmembrane channel like 6","HGNC:18021","17q25.3"
"KIF12","Approved symbol","KIF12","kinesin family member 12","HGNC:21495","9q32"
"MISP3","Approved symbol","MISP3","MISP family member 3","HGNC:26963","19p13.12"
"SLC46A1","Approved symbol","SLC46A1","solute carrier family 46 member 1","HGNC:30521","17q11.2"
"C12orf57","Approved symbol","C12orf57","chromosome 12 open reading frame 57","HGNC:29521","12p13.31"
"DDX42","Approved symbol","DDX42","DEAD-box helicase 42","HGNC:18676","17q23.3"
"LARP4","Approved symbol","LARP4","La ribonucleoprotein 4","HGNC:24320","12q13.12"
"VSIG4","Approved symbol","VSIG4","V-set and immunoglobulin domain containing 4","HGNC:17032","Xq12"
"GLCCI1","Approved symbol","GLCCI1","glucocorticoid induced 1","HGNC:18713","7p21.3"
"TMEM106A","Approved symbol","TMEM106A","transmembrane protein 106A","HGNC:28288","17q21.31"
"SLC52A3","Approved symbol","SLC52A3","solute carrier family 52 member 3","HGNC:16187","20p13"
"FKBP9","Approved symbol","FKBP9","FKBP prolyl isomerase 9","HGNC:3725","7p14.3"
"FKBP9","Alias symbol","FKBP1B","FKBP prolyl isomerase 1B","HGNC:3712","2p23.3"
"STK38","Approved symbol","STK38","serine/threonine kinase 38","HGNC:17847","6p21.31"
"CHRM5","Approved symbol","CHRM5","cholinergic receptor muscarinic 5","HGNC:1954","15q14"
"CTRC","Approved symbol","CTRC","chymotrypsin C","HGNC:2523","1p36.21"
"PHB2","Approved symbol","PHB2","prohibitin 2","HGNC:30306","12p13.31"
"ACOT7","Approved symbol","ACOT7","acyl-CoA thioesterase 7","HGNC:24157","1p36.31"
"PDAP1","Approved symbol","PDAP1","PDGFA associated protein 1","HGNC:14634","7q22.1"
"TUSC2","Approved symbol","TUSC2","tumor suppressor 2, mitochondrial calcium regulator","HGNC:17034","3p21.31"
"CBX3","Approved symbol","CBX3","chromobox 3","HGNC:1553","7p15.2"
"EXOC3","Approved symbol","EXOC3","exocyst complex component 3","HGNC:30378","5p15.33"
"GABARAP","Approved symbol","GABARAP","GABA type A receptor-associated protein","HGNC:4067","17p13.1"
"U2AF2","Approved symbol","U2AF2","U2 small nuclear RNA auxiliary factor 2","HGNC:23156","19q13.42"
"OIP5","Approved symbol","OIP5","Opa interacting protein 5","HGNC:20300","15q15.1"
"CHRNA1","Approved symbol","CHRNA1","cholinergic receptor nicotinic alpha 1 subunit","HGNC:1955","2q31.1"
"EXOSC8","Approved symbol","EXOSC8","exosome component 8","HGNC:17035","13q13.3"
"SFT2D1","Approved symbol","SFT2D1","SFT2 domain containing 1","HGNC:21102","6q27"
"SCRG1","Approved symbol","SCRG1","stimulator of chondrogenesis 1","HGNC:17036","4q34.1"
"TEX261","Approved symbol","TEX261","testis expressed 261","HGNC:30712","2p13.3"
"RNF13","Approved symbol","RNF13","ring finger protein 13","HGNC:10057","3q25.1"
"MGLL","Approved symbol","MGLL","monoglyceride lipase","HGNC:17038","3q21.3"
"TWF2","Approved symbol","TWF2","twinfilin actin binding protein 2","HGNC:9621","3p21.2"
"SMIM12","Approved symbol","SMIM12","small integral membrane protein 12","HGNC:25154","1p34.3"
"GABARAPL2","Approved symbol","GABARAPL2","GABA type A receptor associated protein like 2","HGNC:13291","16q23.1"
"AZIN2","Approved symbol","AZIN2","antizyme inhibitor 2","HGNC:29957","1p35.1"
"TMEM54","Approved symbol","TMEM54","transmembrane protein 54","HGNC:24143","1p35.1"
"DERPC","Approved symbol","DERPC","DERPC proline and glycine rich nuclear protein","HGNC:54084","16q22.1"
"TUBA3D","Approved symbol","TUBA3D","tubulin alpha 3d","HGNC:24071","2q21.1"
"SYNPO","Approved symbol","SYNPO","synaptopodin","HGNC:30672","5q33.1"
"CHRNA2","Approved symbol","CHRNA2","cholinergic receptor nicotinic alpha 2 subunit","HGNC:1956","8p21.2"
"HELQ","Approved symbol","HELQ","helicase, POLQ like","HGNC:18536","4q21.23"
"SMIM40","Approved symbol","SMIM40","small integral membrane protein 40","HGNC:54073","6p21.32"
"SMIM41","Approved symbol","SMIM41","small integral membrane protein 41","HGNC:54075","12q13.13"
"SMIM39","Approved symbol","SMIM39","small integral membrane protein 39","HGNC:54076","2q21.1"
"CMTM1","Approved symbol","CMTM1","CKLF like MARVEL transmembrane domain containing 1","HGNC:19172","16q21"
"CHRNA3","Approved symbol","CHRNA3","cholinergic receptor nicotinic alpha 3 subunit","HGNC:1957","15q25.1"
"CYP2U1","Approved symbol","CYP2U1","cytochrome P450 family 2 subfamily U member 1","HGNC:20582","4q25"
"ADPRHL1","Approved symbol","ADPRHL1","ADP-ribosylhydrolase like 1","HGNC:21303","13q34"
"MFSD3","Approved symbol","MFSD3","major facilitator superfamily domain containing 3","HGNC:25157","8q24.3"
"SDSL","Approved symbol","SDSL","serine dehydratase like","HGNC:30404","12q24.13"
"CHRNA4","Approved symbol","CHRNA4","cholinergic receptor nicotinic alpha 4 subunit","HGNC:1958","20q13.33"
"KLHDC7B","Approved symbol","KLHDC7B","kelch domain containing 7B","HGNC:25145","22q13.33"
"CIMAP1A","Approved symbol","CIMAP1A","ciliary microtubule associated protein 1A","HGNC:19905","11p15.5"
"PIK3IP1","Approved symbol","PIK3IP1","phosphoinositide-3-kinase interacting protein 1","HGNC:24942","22q12.2"
"CHRNA5","Approved symbol","CHRNA5","cholinergic receptor nicotinic alpha 5 subunit","HGNC:1959","15q25.1"
"HENMT1","Approved symbol","HENMT1","HEN methyltransferase 1","HGNC:26400","1p13.3"
"FAM83F","Approved symbol","FAM83F","family with sequence similarity 83 member F","HGNC:25148","22q13.1"
"SLC35A4","Approved symbol","SLC35A4","solute carrier family 35 member A4","HGNC:20753","5q31.3"
"ZNF257","Approved symbol","ZNF257","zinc finger protein 257","HGNC:13498","19p12"
"DTX2","Approved symbol","DTX2","deltex E3 ubiquitin ligase 2","HGNC:15973","7q11.23"
"CHRNA7","Approved symbol","CHRNA7","cholinergic receptor nicotinic alpha 7 subunit","HGNC:1960","15q13.3"
"ADCY8","Approved symbol","ADCY8","adenylate cyclase 8","HGNC:239","8q24.22"
"CHRNB1","Approved symbol","CHRNB1","cholinergic receptor nicotinic beta 1 subunit","HGNC:1961","17p13.1"
"ZIM3","Approved symbol","ZIM3","zinc finger imprinted 3","HGNC:16366","19q13.43"
"TOE1","Approved symbol","TOE1","target of EGR1, exonuclease","HGNC:15954","1p34.1"
"BUD23","Approved symbol","BUD23","BUD23 rRNA methyltransferase and ribosome maturation factor","HGNC:16405","7q11.23"
"TRIM9","Approved symbol","TRIM9","tripartite motif containing 9","HGNC:16288","14q22.1"
"CHRNB2","Approved symbol","CHRNB2","cholinergic receptor nicotinic beta 2 subunit","HGNC:1962","1q21.3"
"ATF7-NPFF","Approved symbol","ATF7-NPFF","ATF7-NPFF readthrough","HGNC:55073","12q13.13"
"TXNRD3","Approved symbol","TXNRD3","thioredoxin reductase 3","HGNC:20667","3q21.3"
"ARHGAP11A-SCG5","Approved symbol","ARHGAP11A-SCG5","ARHGAP11A-SCG5 readthrough","HGNC:56310","15q13.3"
"UCN3","Approved symbol","UCN3","urocortin 3","HGNC:17781","10p15.1"
"SIGLEC11","Approved symbol","SIGLEC11","sialic acid binding Ig like lectin 11","HGNC:15622","19q13.33"
"SLC2A13","Approved symbol","SLC2A13","solute carrier family 2 member 13","HGNC:15956","12q12"
"CHRNB3","Approved symbol","CHRNB3","cholinergic receptor nicotinic beta 3 subunit","HGNC:1963","8p11.21"
"LACTB","Approved symbol","LACTB","lactamase beta","HGNC:16468","15q22.2"
"CHRNB4","Approved symbol","CHRNB4","cholinergic receptor nicotinic beta 4 subunit","HGNC:1964","15q25.1"
"EFHC1","Approved symbol","EFHC1","EF-hand domain containing 1","HGNC:16406","6p12.2"
"CGB1","Approved symbol","CGB1","chorionic gonadotropin subunit beta 1","HGNC:16721","19q13.33"
"CGB2","Approved symbol","CGB2","chorionic gonadotropin subunit beta 2","HGNC:16722","19q13.33"
"CHRND","Approved symbol","CHRND","cholinergic receptor nicotinic delta subunit","HGNC:1965","2q37.1"
"H2BK1","Approved symbol","H2BK1","H2B.K variant histone 1","HGNC:53833","7q36.1"
"ABCF2-H2BK1","Approved symbol","ABCF2-H2BK1","ABCF2-H2BK1 readthrough","HGNC:54751","7q36.1"
"CHRNE","Approved symbol","CHRNE","cholinergic receptor nicotinic epsilon subunit","HGNC:1966","17p13.2"
"CCDC201","Approved symbol","CCDC201","coiled-coil domain containing 201","HGNC:54081","7p12.3"
"NLRP3","Approved symbol","NLRP3","NLR family pyrin domain containing 3","HGNC:16400","1q44"
"MAL2","Approved symbol","MAL2","mal, T cell differentiation protein 2","HGNC:13634","8q24.12"
"SLC22A9","Approved symbol","SLC22A9","solute carrier family 22 member 9","HGNC:16261","11q12.3"
"CHRNG","Approved symbol","CHRNG","cholinergic receptor nicotinic gamma subunit","HGNC:1967","2q37.1"
"TIRAP","Approved symbol","TIRAP","TIR domain containing adaptor protein","HGNC:17192","11q24.2"
"ERMAP","Approved symbol","ERMAP","erythroblast membrane associated protein (Scianna blood group)","HGNC:15743","1p34.2"
"LRRC37B","Approved symbol","LRRC37B","leucine rich repeat containing 37B","HGNC:29070","17q11.2"
"CHUK","Approved symbol","CHUK","component of inhibitor of nuclear factor kappa B kinase complex","HGNC:1974","10q24.31"
"CYGB","Approved symbol","CYGB","cytoglobin","HGNC:16505","17q25.1"
"CARD16","Approved symbol","CARD16","caspase recruitment domain family member 16","HGNC:33701","11q22.3"
"PGLYRP2","Approved symbol","PGLYRP2","peptidoglycan recognition protein 2","HGNC:30013","19p13.12"
"PGLYRP3","Approved symbol","PGLYRP3","peptidoglycan recognition protein 3","HGNC:30014","1q21.3"
"BTBD9","Approved symbol","BTBD9","BTB domain containing 9","HGNC:21228","6p21.2"
"LMTK3","Approved symbol","LMTK3","lemur tyrosine kinase 3","HGNC:19295","19q13.33"
"CSMD2","Approved symbol","CSMD2","CUB and Sushi multiple domains 2","HGNC:19290","1p35.1"
"MBD6","Approved symbol","MBD6","methyl-CpG binding domain protein 6","HGNC:20445","12q13.3"
"XKR4","Approved symbol","XKR4","XK related 4","HGNC:29394","8q12.1"
"GPRIN1","Approved symbol","GPRIN1","G protein regulated inducer of neurite outgrowth 1","HGNC:24835","5q35.2"
"CSMD3","Approved symbol","CSMD3","CUB and Sushi multiple domains 3","HGNC:19291","8q23.3"
"SLC25A25","Approved symbol","SLC25A25","solute carrier family 25 member 25","HGNC:20663","9q34.11"
"STK11IP","Approved symbol","STK11IP","serine/threonine kinase 11 interacting protein","HGNC:19184","2q35"
"TUBGCP5","Approved symbol","TUBGCP5","tubulin gamma complex component 5","HGNC:18600","15q11.2"
"KLHL32","Approved symbol","KLHL32","kelch like family member 32","HGNC:21221","6q16.1"
"FMNL2","Approved symbol","FMNL2","formin like 2","HGNC:18267","2q23.3"
"ELFN2","Approved symbol","ELFN2","extracellular leucine rich repeat and fibronectin type III domain containing 2","HGNC:29396","22q13.1"
"TMEM132B","Approved symbol","TMEM132B","transmembrane protein 132B","HGNC:29397","12q24.31"
"SLITRK1","Approved symbol","SLITRK1","SLIT and NTRK like family member 1","HGNC:20297","13q31.1"
"ESCO1","Approved symbol","ESCO1","establishment of sister chromatid cohesion N-acetyltransferase 1","HGNC:24645","18q11.2"
"CCDC85A","Approved symbol","CCDC85A","coiled-coil domain containing 85A","HGNC:29400","2p16.1"
"TMEM200A","Approved symbol","TMEM200A","transmembrane protein 200A","HGNC:21075","6q23.1"
"MYSM1","Approved symbol","MYSM1","Myb like, SWIRM and MPN domains 1","HGNC:29401","1p32.1"
"RNF157","Approved symbol","RNF157","ring finger protein 157","HGNC:29402","17q25.1"
"GALNT13","Approved symbol","GALNT13","polypeptide N-acetylgalactosaminyltransferase 13","HGNC:23242","2q23.3-q24.1"
"SORCS1","Approved symbol","SORCS1","sortilin related VPS10 domain containing receptor 1","HGNC:16697","10q25.1"
"KLHL29","Approved symbol","KLHL29","kelch like family member 29","HGNC:29404","2p24.1"
"SCAND3","Approved symbol","SCAND3","SCAN domain containing 3","HGNC:13851","6p22.1"
"RHPN1","Approved symbol","RHPN1","rhophilin Rho GTPase binding protein 1","HGNC:19973","8q24.3"
"LENG8","Approved symbol","LENG8","leukocyte receptor cluster member 8","HGNC:15500","19q13.42"
